"#ID","Name","HW1","HW2","HW3","HW4","HW5","HW6","HW7","Quiz1","Quiz2","Quiz3","Quiz4","E1","E2","E3"
"13046460","Fry, Angelo","55.000000","65.000000","93.000000","96.000000","78.000000","91.000000","69.000000","92.000000","78.000000","96.000000","66.000000","63.000000","89.000000","180.000000"
"19486714","Jarvis, Mark","44.000000","75.000000","97.000000","41.000000","86.000000","48.000000","49.000000","98.000000","78.000000","75.000000","91.000000","80.000000","93.000000","126.000000"
"15240575","Garcia, Alessandra","51.000000","69.000000","54.000000","47.000000","61.000000","78.000000","50.000000","97.000000","85.000000","91.000000","99.000000","92.000000","59.000000","139.000000"
"17897552","Peters, Melvin","90.000000","100.000000","100.000000","97.000000","49.000000","50.000000","83.000000","73.000000","92.000000","94.000000","65.000000","87.000000","90.000000","126.000000"
"17269141","Pennington, Victor","60.000000","42.000000","90.000000","59.000000","75.000000","44.000000","60.000000","69.000000","99.000000","74.000000","81.000000","85.000000","62.000000","118.000000"
"13880965","Werner, Terrance","98.000000","81.000000","93.000000","60.000000","84.000000","95.000000","45.000000","76.000000","92.000000","81.000000","76.000000","56.000000","97.000000","140.000000"
"18347237","Reeves, Jacob","41.000000","39.000000","40.000000","74.000000","39.000000","92.000000","88.000000","59.000000","95.000000","89.000000","78.000000","60.000000","60.000000","158.000000"
"15346233","Ortiz, Timothy","75.000000","98.000000","89.000000","60.000000","94.000000","54.000000","42.000000","86.000000","84.000000","59.000000","64.000000","59.000000","72.000000","119.000000"
"16498248","Hart, Wade","37.000000","89.000000","66.000000","84.000000","52.000000","100.000000","88.000000","75.000000","67.000000","77.000000","72.000000","61.000000","74.000000","147.000000"
"11397936","Bright, Erin","66.000000","73.000000","54.000000","100.000000","78.000000","88.000000","50.000000","98.000000","82.000000","93.000000","59.000000","95.000000","83.000000","177.000000"
"12602743","Floyd, Chanell","59.000000","50.000000","75.000000","33.000000","61.000000","79.000000","58.000000","83.000000","66.000000","87.000000","84.000000","95.000000","91.000000","109.000000"
"11653262","Stokes, Neomi","33.000000","40.000000","56.000000","90.000000","36.000000","78.000000","83.000000","69.000000","99.000000","90.000000","70.000000","79.000000","95.000000","199.000000"
"10809052","Booker, Erin","49.000000","80.000000","83.000000","99.000000","86.000000","93.000000","34.000000","73.000000","87.000000","78.000000","87.000000","73.000000","98.000000","185.000000"
"12985225","Webb, Tony","37.000000","91.000000","80.000000","60.000000","72.000000","100.000000","57.000000","65.000000","100.000000","92.000000","80.000000","91.000000","95.000000","174.000000"
"14789024","Lawson, Nida","95.000000","54.000000","74.000000","65.000000","97.000000","42.000000","62.000000","62.000000","87.000000","81.000000","93.000000","100.000000","64.000000","159.000000"
"17222588","Fletcher, Gordon","42.000000","53.000000","35.000000","45.000000","46.000000","94.000000","89.000000","84.000000","80.000000","66.000000","95.000000","73.000000","69.000000","106.000000"
"15514268","Moody, Hector","73.000000","84.000000","41.000000","62.000000","33.000000","91.000000","53.000000","82.000000","92.000000","64.000000","97.000000","85.000000","95.000000","121.000000"
"11103675","Lloyd, Eric","73.000000","86.000000","68.000000","75.000000","91.000000","68.000000","65.000000","82.000000","78.000000","69.000000","92.000000","82.000000","66.000000","187.000000"
"14613021","Mills, Gilma","79.000000","36.000000","71.000000","48.000000","61.000000","79.000000","67.000000","77.000000","92.000000","75.000000","89.000000","93.000000","56.000000","145.000000"
"11658558","Allen, Rick","37.000000","68.000000","91.000000","89.000000","61.000000","35.000000","35.000000","58.000000","77.000000","66.000000","86.000000","91.000000","59.000000","127.000000"
"19351632","Bridges, Cammy","63.000000","60.000000","35.000000","41.000000","92.000000","47.000000","72.000000","79.000000","64.000000","65.000000","100.000000","81.000000","77.000000","193.000000"
"12592611","Howard, Perry","87.000000","38.000000","54.000000","95.000000","92.000000","77.000000","36.000000","63.000000","66.000000","57.000000","100.000000","74.000000","77.000000","177.000000"
"12988631","Chase, Samuel","74.000000","39.000000","39.000000","48.000000","49.000000","71.000000","96.000000","58.000000","72.000000","89.000000","92.000000","95.000000","59.000000","134.000000"
"10413470","Stephens, Dorthey","70.000000","61.000000","76.000000","67.000000","74.000000","97.000000","51.000000","95.000000","79.000000","76.000000","72.000000","99.000000","66.000000","166.000000"
"16940417","Kawkins, Tory","84.000000","61.000000","75.000000","55.000000","64.000000","95.000000","76.000000","86.000000","83.000000","96.000000","58.000000","99.000000","85.000000","190.000000"
"15750634","Harrison, Matthew","79.000000","47.000000","94.000000","57.000000","82.000000","35.000000","42.000000","84.000000","75.000000","60.000000","69.000000","64.000000","72.000000","108.000000"

